"Tipo","Fecha","ICVLF analítico","ICVLF 0–100","Nivel histórico"
"Máximos históricos","2024-09",0.9519,100,"Muy alta"
"Máximos históricos","2024-08",0.8794,96.94,"Muy alta"
"Máximos históricos","2024-06",0.8591,96.08,"Muy alta"
"Máximos históricos","2024-05",0.8495,95.68,"Muy alta"
"Máximos históricos","2024-07",0.8351,95.07,"Muy alta"
"Máximos históricos","2024-10",0.7922,93.26,"Muy alta"
"Máximos históricos","2025-03",0.77,92.32,"Muy alta"
"Máximos históricos","2025-02",0.7429,91.18,"Muy alta"
"Máximos históricos","2024-04",0.724,90.38,"Muy alta"
"Máximos históricos","2023-02",0.709,89.75,"Muy alta"
"Mínimos históricos","2010-04",-1.4182,0,"Baja"
"Mínimos históricos","2010-01",-1.3721,1.94,"Baja"
"Mínimos históricos","2010-02",-1.2574,6.78,"Baja"
"Mínimos históricos","2010-03",-1.1963,9.36,"Baja"
"Mínimos históricos","2011-04",-1.0857,14.03,"Baja"
"Mínimos históricos","2011-05",-1.0213,16.74,"Baja"
"Mínimos históricos","2011-07",-0.882,22.62,"Baja"
"Mínimos históricos","2010-07",-0.8713,23.07,"Baja"
"Mínimos históricos","2011-03",-0.866,23.3,"Baja"
"Mínimos históricos","2011-06",-0.858,23.64,"Baja"
