"Dimensión","Indicador","N","Faltantes","Media","D.E.","P5","P25","Mediana","P75","P95","Mínimo","Máximo","Sesgo","Curtosis exc.","p JB"
"Activos","Cartera Neta / Activo Total",192,0,67.0627,6.1431,54.0802,63.5971,69.5814,71.1683,72.9189,43.68,74.9569,-1.6667,2.9218,"<0.0001"
"Activos","Disponibilidades / Activo Total",192,0,13.8971,4.1406,9.556,11.0266,12.1853,15.8373,22.5313,8.4981,28.0375,1.3043,1.0569,"<0.0001"
"Activos","Activo Improductivo / Patrimonio",192,0,205.0737,34.2291,158.717,174.4979,206.6596,230.941,261.8189,144.8581,315.155,0.4313,-0.2758,"0.0376"
"Activos","Activo Productivo / (Activo + Contingente)",192,0,83.3199,3.7476,76.2192,82.1458,83.4364,86.12,88.0635,68.4954,89.2462,-1.3552,2.9051,"<0.0001"
"Cartera","Cartera Categoría F (previsión 100%) / Cartera",184,8,1.5061,0.6343,0.8583,0.9903,1.2116,1.8068,2.8243,0.8114,2.906,0.9337,-0.3394,"<0.0001"
"Cartera","Cartera Vencida y Ejecución / Cartera Total",192,0,2.5112,1.907,1.2908,1.4976,1.9531,2.7888,4.0806,1.1981,12.7675,3.8456,16.5282,"<0.0001"
"Cartera","Previsión Cartera Incobrable / Cartera Total",192,0,4.2117,1.5879,3.2161,3.3737,3.9965,4.2883,5.2829,3.0994,12.5683,4.0887,18.1247,"<0.0001"
"Cartera","Cartera Reprog. Vencida y Ejec. / Cartera Reprog.",192,0,15.7164,6.8903,4.6453,10.9368,14.9021,20.3839,26.9036,3.2153,33.7958,0.2672,-0.4116,"0.1620"
"Cartera","Cartera Reprog. o Reestruct. / Cartera Total",192,0,7.2797,7.4354,1.0801,1.5636,3.0206,17.125,19.6677,1.0118,21.0867,0.8315,-1.1296,"<0.0001"
"Fondeo","Días de Permanencia Promedio de DPF",192,0,699.8398,188.992,407.0022,556.2684,605.6011,886.4526,948.6986,364.1843,955.6748,0.0004,-1.5808,"<0.0001"
"Fondeo","Oblig. Personas Jurídicas e Institucionales / Total Oblig.",192,0,64.1627,3.8947,57.8922,61.1545,65.2318,66.9663,69.4907,50.1823,70.0694,-0.7305,0.2701,"0.0001"
"Fondeo","Oblig. con Bancos y Ent. Fin. / (Pas. + Pat.)",192,0,10.0277,3.9672,5.0729,6.0987,9.5631,13.1812,15.9911,4.0729,17.2779,0.2319,-1.3538,"0.0003"
"Fondeo","Oblig. Público + Emp. Públicas / (Pas. + Pat.)",192,0,72.3302,2.3803,68.5404,70.388,72.7753,74.1506,75.5345,65.3285,76.67,-0.5893,0.0338,"0.0038"
"Fondeo","Oblig. con el Público / (Pas. + Pat.)",192,0,67.8763,7.2707,44.5338,65.9003,70.0553,72.1928,73.31,39.4371,75.0371,-2.8081,7.9767,"<0.0001"
"Fondeo","Obligaciones Subordinadas / (Pas. + Pat.)",192,0,0.9955,0.2276,0.6204,0.8443,0.9456,1.1865,1.3633,0.5469,1.5269,0.3012,-0.5424,"0.0722"
"Fondeo","Oblig. Personas Naturales / Total Oblig. Público",192,0,35.7571,3.6834,30.5093,33.0337,34.7682,38.8455,41.8804,29.9306,45.1375,0.4296,-0.846,"0.0030"
"Liquidez","(Disp. + Inv. Temp.) / Activo Total",192,0,26.3617,7.0251,18.8233,20.798,23.6009,31.8625,39.142,16.998,49.305,0.9393,0.3235,"<0.0001"
"Liquidez","(Disp. + Inv. Temp.) / Oblig. Corto Plazo",192,0,97.3159,98.7128,60.7735,66.9708,80.7795,90.4126,130.1978,56.85,779.0058,5.9429,35.8539,"<0.0001"
"Liquidez","(Disp. + Inv. Temp.) / Pasivo Total",192,0,33.94,13.9811,21.9772,24.5548,28.0791,38.8746,63.1416,19.4467,93.3033,1.9813,4.5339,"<0.0001"
"Liquidez","Disponibilidades / Oblig. Corto Plazo",192,0,51.2046,46.0182,32.8929,37.6946,41.4904,48.6194,71.9242,30.38,352.8017,5.6762,32.7235,"<0.0001"
"Solvencia","Coeficiente de Adecuación Patrimonial (CAP)",192,0,20.8627,9.0773,15.9082,16.8561,17.6395,20.8366,38.9763,15.3127,69.9933,3.6423,14.8677,"<0.0001"
"Solvencia","(Cartera Vencida + Ejecución – Prev.) / Patrimonio",192,0,8.328,4.4845,3.5283,4.3911,7.3797,10.7425,17.5781,2.6873,19.5636,0.8502,-0.3588,"<0.0001"
"Solvencia","(Cartera Vencida + Ejecución) / Patrimonio",192,0,20.7205,8.915,10.4516,12.8976,20.1689,25.515,38.07,8.6676,41.4343,0.7398,-0.4596,"<0.0001"
"Solvencia","Patrimonio / (Activo + Contingente)",192,0,10.8268,2.4829,8.7247,9.3505,9.9933,11.4604,15.3756,8.618,21.66,2.467,6.8785,"<0.0001"
"Solvencia","Patrimonio / Activo Total",192,0,12.2738,2.925,9.4522,9.8616,11.8165,13.1086,17.7089,9.2567,23.42,1.7338,3.4442,"<0.0001"
