"Dimensión","Indicador","ADF","p ADF","Lectura"
"Liquidez","Disponibilidades / Oblig. Corto Plazo",-6.2863,"<0.01","Estacionaria al 5%"
"Liquidez","(Disp. + Inv. Temp.) / Oblig. Corto Plazo",-5.7306,"<0.01","Estacionaria al 5%"
"Liquidez","(Disp. + Inv. Temp.) / Pasivo Total",-3.6486,"0.0303","Estacionaria al 5%"
"Liquidez","(Disp. + Inv. Temp.) / Activo Total",-0.5426,">0.10","No estacionaria al 5%"
"Fondeo","Oblig. Público + Emp. Públicas / (Pas. + Pat.)",-4.689,"<0.01","Estacionaria al 5%"
"Fondeo","Oblig. con el Público / (Pas. + Pat.)",-3.8044,"0.0201","Estacionaria al 5%"
"Fondeo","Oblig. con Bancos y Ent. Fin. / (Pas. + Pat.)",-0.8775,">0.10","No estacionaria al 5%"
"Fondeo","Obligaciones Subordinadas / (Pas. + Pat.)",-1.2377,">0.10","No estacionaria al 5%"
"Fondeo","Oblig. Personas Jurídicas e Institucionales / Total Oblig.",-3.3043,"0.0723","No estacionaria al 5%"
"Fondeo","Oblig. Personas Naturales / Total Oblig. Público",-1.6697,">0.10","No estacionaria al 5%"
"Fondeo","Días de Permanencia Promedio de DPF",-2.4005,">0.10","No estacionaria al 5%"
"Activos","Disponibilidades / Activo Total",-1.6774,">0.10","No estacionaria al 5%"
"Activos","Cartera Neta / Activo Total",-3.4109,"0.0545","No estacionaria al 5%"
"Activos","Activo Productivo / (Activo + Contingente)",-4.189,"<0.01","Estacionaria al 5%"
"Activos","Activo Improductivo / Patrimonio",-2.7006,">0.10","No estacionaria al 5%"
"Cartera","Cartera Reprog. o Reestruct. / Cartera Total",-2.2845,">0.10","No estacionaria al 5%"
"Cartera","Cartera Vencida y Ejecución / Cartera Total",-22.5729,"<0.01","Estacionaria al 5%"
"Cartera","Cartera Reprog. Vencida y Ejec. / Cartera Reprog.",-1.8984,">0.10","No estacionaria al 5%"
"Cartera","Previsión Cartera Incobrable / Cartera Total",-17.3054,"<0.01","Estacionaria al 5%"
"Cartera","Cartera Categoría F (previsión 100%) / Cartera",-1.7616,">0.10","No estacionaria al 5%"
"Solvencia","Patrimonio / Activo Total",-6.1213,"<0.01","Estacionaria al 5%"
"Solvencia","Patrimonio / (Activo + Contingente)",-7.4463,"<0.01","Estacionaria al 5%"
"Solvencia","Coeficiente de Adecuación Patrimonial (CAP)",-4.7522,"<0.01","Estacionaria al 5%"
"Solvencia","(Cartera Vencida + Ejecución) / Patrimonio",-3.5375,"0.0407","Estacionaria al 5%"
"Solvencia","(Cartera Vencida + Ejecución – Prev.) / Patrimonio",-2.5416,">0.10","No estacionaria al 5%"
