"Dimensión","Indicador 1","Indicador 2","N pares","Pearson","Spearman","Alta redundancia |r|≥0.90"
"Liquidez","(Disp. + Inv. Temp.) / Oblig. Corto Plazo","Disponibilidades / Oblig. Corto Plazo",192,0.9841,0.8898,"Sí"
"Liquidez","(Disp. + Inv. Temp.) / Oblig. Corto Plazo","(Disp. + Inv. Temp.) / Pasivo Total",192,0.6285,0.701,"No"
"Liquidez","(Disp. + Inv. Temp.) / Pasivo Total","Disponibilidades / Oblig. Corto Plazo",192,0.6704,0.6869,"No"
"Liquidez","(Disp. + Inv. Temp.) / Activo Total","Disponibilidades / Oblig. Corto Plazo",192,0.5138,0.6261,"No"
"Liquidez","(Disp. + Inv. Temp.) / Activo Total","(Disp. + Inv. Temp.) / Oblig. Corto Plazo",192,0.4851,0.6346,"No"
"Liquidez","(Disp. + Inv. Temp.) / Activo Total","(Disp. + Inv. Temp.) / Pasivo Total",192,0.9486,0.984,"Sí"
"Fondeo","Oblig. Público + Emp. Públicas / (Pas. + Pat.)","Oblig. con el Público / (Pas. + Pat.)",192,0.6309,0.946,"No"
"Fondeo","Oblig. Público + Emp. Públicas / (Pas. + Pat.)","Obligaciones Subordinadas / (Pas. + Pat.)",192,-0.0795,-0.1622,"No"
"Fondeo","Oblig. Público + Emp. Públicas / (Pas. + Pat.)","Oblig. Personas Naturales / Total Oblig. Público",192,-0.4117,-0.4178,"No"
"Fondeo","Oblig. con el Público / (Pas. + Pat.)","Obligaciones Subordinadas / (Pas. + Pat.)",192,-0.0041,-0.1551,"No"
"Fondeo","Oblig. con el Público / (Pas. + Pat.)","Oblig. Personas Naturales / Total Oblig. Público",192,-0.4266,-0.406,"No"
"Fondeo","Oblig. con Bancos y Ent. Fin. / (Pas. + Pat.)","Oblig. Público + Emp. Públicas / (Pas. + Pat.)",192,-0.664,-0.7397,"No"
"Fondeo","Oblig. con Bancos y Ent. Fin. / (Pas. + Pat.)","Oblig. con el Público / (Pas. + Pat.)",192,-0.6618,-0.8271,"No"
"Fondeo","Oblig. con Bancos y Ent. Fin. / (Pas. + Pat.)","Obligaciones Subordinadas / (Pas. + Pat.)",192,0.2881,0.405,"No"
