"Dimensión","Indicador","Carga PC1 orientada","Peso PCA","PCA interpretable en dimensión"
"Activos","Disponibilidades / Activo Total",0.5152,0.2585,"No"
"Activos","Cartera Neta / Activo Total",0.5115,0.2567,"No"
"Activos","Activo Productivo / (Activo + Contingente)",-0.5394,0.2707,"No"
"Activos","Activo Improductivo / Patrimonio",-0.4266,0.2141,"No"
"Cartera","Cartera Reprog. o Reestruct. / Cartera Total",0.6093,0.2938,"Sí"
"Cartera","Cartera Vencida y Ejecución / Cartera Total",0.248,0.1196,"Sí"
"Cartera","Cartera Reprog. Vencida y Ejec. / Cartera Reprog.",-0.4444,0.2142,"Sí"
"Cartera","Previsión Cartera Incobrable / Cartera Total",0.1972,0.0951,"Sí"
"Cartera","Cartera Categoría F (previsión 100%) / Cartera",0.5753,0.2774,"Sí"
"Fondeo","Oblig. Público + Emp. Públicas / (Pas. + Pat.)",0.4696,0.1874,"No"
"Fondeo","Oblig. con el Público / (Pas. + Pat.)",0.4501,0.1796,"No"
"Fondeo","Oblig. con Bancos y Ent. Fin. / (Pas. + Pat.)",-0.3957,0.1579,"No"
"Fondeo","Obligaciones Subordinadas / (Pas. + Pat.)",-0.1109,0.0443,"No"
"Fondeo","Oblig. Personas Jurídicas e Institucionales / Total Oblig.",0.4164,0.1662,"No"
"Fondeo","Oblig. Personas Naturales / Total Oblig. Público",0.4181,0.1669,"No"
"Fondeo","Días de Permanencia Promedio de DPF",0.2445,0.0976,"No"
"Liquidez","Disponibilidades / Oblig. Corto Plazo",0.51,0.2552,"Sí"
"Liquidez","(Disp. + Inv. Temp.) / Oblig. Corto Plazo",0.4986,0.2495,"Sí"
"Liquidez","(Disp. + Inv. Temp.) / Pasivo Total",0.5197,0.26,"Sí"
"Liquidez","(Disp. + Inv. Temp.) / Activo Total",0.4704,0.2353,"Sí"
"Solvencia","Patrimonio / Activo Total",0.5211,0.2353,"Sí"
"Solvencia","Patrimonio / (Activo + Contingente)",0.498,0.2249,"Sí"
"Solvencia","Coeficiente de Adecuación Patrimonial (CAP)",0.4504,0.2034,"Sí"
"Solvencia","(Cartera Vencida + Ejecución) / Patrimonio",0.3715,0.1677,"Sí"
"Solvencia","(Cartera Vencida + Ejecución – Prev.) / Patrimonio",0.3735,0.1687,"Sí"
