"Serie","Transformación","N","ADF","p ADF","PP","p PP","KPSS nivel","p KPSS nivel","KPSS tendencia","p KPSS tendencia","Evidencia"
"ICVLF_equal","Nivel",192,-3.3225,"0.0692",-43.5277,"<0.01",3.4303,"<0.01",0.1287,"0.0821","Mixta / inconclusa"
"ICVLF_equal","Primera diferencia",191,-6.2623,"<0.01",-184.5535,"<0.01",0.1301,">0.10",0.0396,">0.10","Convergente: estacionaria"
"P1","Nivel",192,-6.2863,"<0.01",-36.6832,"<0.01",0.6729,"0.0160",0.1804,"0.0233","Mixta / inconclusa"
"P1","Primera diferencia",191,-9.7063,"<0.01",-172.2766,"<0.01",0.3101,">0.10",0.1197,"0.0988","Convergente: estacionaria"
"P2","Nivel",192,-5.7306,"<0.01",-36.811,"<0.01",0.591,"0.0235",0.1383,"0.0643","Mixta / inconclusa"
"P2","Primera diferencia",191,-9.8572,"<0.01",-139.1546,"<0.01",0.3078,">0.10",0.124,"0.0907","Convergente: estacionaria"
"CLA","Nivel",48,-1.9039,">0.10",-8.0708,">0.10",0.9437,"<0.01",0.1491,"0.0474","Convergente: no estacionaria"
"CLA","Primera diferencia",44,-2.7926,">0.10",-35.3715,"<0.01",0.0902,">0.10",0.0845,">0.10","Mixta / inconclusa"
"IPFE_100","Nivel",192,-3.1649,"0.0955",-7.1564,">0.10",0.8091,"<0.01",0.5635,"<0.01","Convergente: no estacionaria"
"IPFE_100","Primera diferencia",191,-6.3758,"<0.01",-201.6765,"<0.01",0.3592,"0.0948",0.0392,">0.10","Convergente: estacionaria"
