"Proxy","Subperiodo","N","Pearson","Spearman","Intensidad"
"P1: Disp. / Oblig. CP","2010–2014",60,-0.735,-0.7096,"Alta (|r| ≥ 0.70)"
"P2: (Disp. + Inv. Temp.) / Oblig. CP","2010–2014",60,-0.6942,-0.6894,"Moderada (0.40 ≤ |r| < 0.70)"
"CLA","2010–2014",0,S/D,S/D,"S/D"
"IPFE","2010–2014",60,-0.7573,-0.8287,"Alta (|r| ≥ 0.70)"
"P1: Disp. / Oblig. CP","2015–2019",60,-0.6953,-0.2131,"Moderada (0.40 ≤ |r| < 0.70)"
"P2: (Disp. + Inv. Temp.) / Oblig. CP","2015–2019",60,-0.6712,-0.4196,"Moderada (0.40 ≤ |r| < 0.70)"
"CLA","2015–2019",3,S/D,S/D,"S/D"
"IPFE","2015–2019",60,-0.2733,-0.2947,"Baja (|r| < 0.40)"
"P1: Disp. / Oblig. CP","2020–2021",24,0.1547,-0.0696,"Baja (|r| < 0.40)"
"P2: (Disp. + Inv. Temp.) / Oblig. CP","2020–2021",24,-0.0121,-0.2417,"Baja (|r| < 0.40)"
"CLA","2020–2021",1,S/D,S/D,"S/D"
"IPFE","2020–2021",24,-0.613,-0.5913,"Moderada (0.40 ≤ |r| < 0.70)"
"P1: Disp. / Oblig. CP","2022–2025",48,-0.1612,-0.2915,"Baja (|r| < 0.40)"
"P2: (Disp. + Inv. Temp.) / Oblig. CP","2022–2025",48,-0.0213,-0.1076,"Baja (|r| < 0.40)"
"CLA","2022–2025",44,0.1742,0.1852,"Baja (|r| < 0.40)"
"IPFE","2022–2025",48,-0.2162,-0.1792,"Baja (|r| < 0.40)"
