"Proxy","Horizonte (meses)","N","Pearson adelantado","Spearman adelantado"
"P1: Disp. / Oblig. CP",1,191,-0.4785,-0.667
"P2: (Disp. + Inv. Temp.) / Oblig. CP",1,191,-0.4549,-0.708
"CLA",1,48,0.2566,0.1881
"IPFE",1,191,-0.4493,-0.1499
"P1: Disp. / Oblig. CP",3,189,-0.4054,-0.6292
"P2: (Disp. + Inv. Temp.) / Oblig. CP",3,189,-0.3806,-0.6597
"CLA",3,48,0.251,0.1294
"IPFE",3,189,-0.4234,-0.0947
"P1: Disp. / Oblig. CP",6,186,-0.3591,-0.5831
"P2: (Disp. + Inv. Temp.) / Oblig. CP",6,186,-0.3199,-0.6098
"CLA",6,48,0.3159,0.145
"IPFE",6,186,-0.3237,0.0052
