"tipo","codigo","ubicacion","titulo"
"Tabla","Tabla 4.1","Cuerpo","Hechos estilizados y diagnóstico de las series de entrada"
"Figura","Figura 4.1","Cuerpo","Perfil distributivo estandarizado de los 25 indicadores"
"Tabla","Tabla 4.2","Cuerpo","Evolución del ICVLF por subperiodo"
"Figura","Figura 4.2","Cuerpo","Trayectoria del ICVLF, cuartiles y rupturas"
"Figura","Figura 4.3","Cuerpo","Evolución de las cinco dimensiones"
"Figura","Figura 4.4","Cuerpo","Contribuciones por dimensión y subperiodo"
"Tabla","Tabla 4.3","Cuerpo","Validación convergente P1/P2"
"Figura","Figura 4.5","Cuerpo","Validación rolling P1/P2 a 60 meses"
"Tabla","Tabla 4.4","Cuerpo","Robustez ejecutiva"
"Tabla","Tabla 4.5","Cuerpo","Rupturas Bai–Perron con IC 95%"
"Figura","Figura 4.6","Cuerpo","Estrés contrafactual Q95"
"Tabla","A1","Anexo","Marco financiero de dimensiones"
"Tabla","A2","Anexo","Arquitectura de 25 indicadores"
"Tabla","A3","Anexo","Descriptivos completos"
"Tabla","A4","Anexo","ADF individual"
"Tabla","A5","Anexo","Correlaciones intradimensionales"
"Tabla","A6a","Anexo","Diagnóstico PCA"
"Tabla","A6b","Anexo","Pesos PCA de sensibilidad"
"Tabla","A7a","Anexo","ADF/PP/KPSS ICVLF y proxies"
"Tabla","A7b","Anexo","Resumen de integración"
"Tabla","A8a","Anexo","Validación global todos los proxies"
"Tabla","A8b","Anexo","Validación por subperiodo"
"Tabla","A8c","Anexo","Asociaciones adelantadas"
"Tabla","A9","Anexo","HAC y sensibilidad a extremos"
"Tabla","A10","Anexo","Leave-one-out completo"
"Tabla","A11","Anexo","Benchmark de alcance"
"Tabla","A12","Anexo","Trayectoria BIC"
"Tabla","A13a","Anexo","Calibración de estrés"
"Tabla","A13b","Anexo","Estrés Q95 completo"
"Tabla","A13c","Anexo","Estrés +1.5 d.e."
"Tabla","A14a","Anexo","Rolling 60/24 meses"
"Tabla","A14b","Anexo","Persistencia rolling AR(1)"
"Tabla","A15","Anexo","Extremos históricos"
"Figura","A1","Anexo","Robustez visual de especificaciones"
"Figura","A2","Anexo","Selección BIC de rupturas"
